1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SUM,Day/Hour
0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.11,0.25,0.46,0.52,0.76,0.77,0.68,0.46,0.16,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.16,0.55,0.94,1.34,1.3,0.6,0.71,0.61,0.25,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6.6,2
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.3,1.13,1.91,2.44,2.41,1.5,1.47,0.89,0.9,0.13,0.0,0.0,0.0,0.0,0.0,0.0,13.2,3
0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.81,1.72,2.5,3.06,3.37,3.41,3.11,2.57,1.43,0.59,0.1,0.0,0.0,0.0,0.0,0.0,0.0,22.8,4
0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.7,1.73,2.57,3.3,1.87,0.8,0.7,1.15,1.66,0.69,0.07,0.0,0.0,0.0,0.0,0.0,0.0,15.3,5
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.47,0.4,0.28,0.27,0.32,0.43,0.33,0.26,0.2,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.2,6
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.16,0.38,0.34,0.24,0.26,0.64,0.43,0.15,0.1,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,2.8,7
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.22,0.46,0.66,0.67,0.21,0.1,0.12,0.09,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.7,8
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.69,0.82,0.81,0.99,0.65,0.38,0.28,0.11,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,5.1,9
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.14,0.31,0.35,0.41,0.53,0.66,0.64,0.87,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.4,10
0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.26,0.65,1.69,2.18,1.19,0.75,1.53,0.39,0.2,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.19,0.56,1.19,2.95,1.72,0.86,0.68,0.66,0.77,1.01,0.19,0.0,0.0,0.0,0.0,0.0,0.0,10.8,12
0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.55,0.49,0.82,1.1,0.55,0.27,0.2,0.22,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.6,13
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.18,0.33,0.38,0.46,0.36,0.68,1.17,1.42,0.86,0.14,0.0,0.0,0.0,0.0,0.0,0.0,6.1,14
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.48,0.95,2.75,2.87,1.22,0.38,0.45,0.57,0.35,0.11,0.0,0.0,0.0,0.0,0.0,0.0,10.4,15
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.93,1.45,2.3,2.64,2.62,3.34,2.94,2.33,1.25,0.33,0.1,0.0,0.0,0.0,0.0,0.0,0.0,20.4,16
0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.34,1.37,2.49,3.02,3.32,2.92,1.59,0.92,0.8,0.47,0.11,0.0,0.0,0.0,0.0,0.0,0.0,17.5,17
0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.25,0.35,0.49,0.48,0.43,0.2,0.24,0.13,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,2.9,18
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.17,0.3,0.48,0.45,0.56,0.41,0.4,0.22,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,3.2,19
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.28,0.94,1.45,1.52,0.68,0.76,0.71,0.39,0.12,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,7.1,20
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.95,1.86,2.67,3.15,3.3,2.39,2.4,0.89,0.53,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,18.6,21
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.17,0.7,1.77,2.73,1.98,1.71,1.27,0.56,0.4,0.22,0.06,0.0,0.0,0.0,0.0,0.0,0.0,11.6,22
0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.86,1.63,2.29,2.77,2.98,3.35,2.46,1.11,0.87,0.26,0.04,0.0,0.0,0.0,0.0,0.0,0.0,18.8,23
0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.95,1.53,2.01,3.0,3.48,3.38,2.74,2.71,1.68,0.43,0.11,0.0,0.0,0.0,0.0,0.0,0.0,22.2,24
0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.49,0.86,2.56,2.54,3.51,3.49,3.15,2.16,0.91,0.48,0.1,0.0,0.0,0.0,0.0,0.0,0.0,20.4,25
0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.01,1.88,2.57,2.45,0.39,0.21,0.42,0.3,0.15,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,9.8,26
0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.38,0.65,1.12,2.22,2.5,2.12,0.64,0.35,0.29,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.0,10.6,27
0.0,0.0,0.0,0.0,0.0,0.01,0.26,1.13,2.12,2.48,3.19,3.54,2.43,1.27,1.28,0.94,1.21,0.22,0.0,0.0,0.0,0.0,0.0,0.0,20.1,28
0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.29,0.51,0.16,0.34,0.25,0.39,0.35,0.32,0.16,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29
0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.3,0.41,0.76,1.57,1.7,2.66,3.12,2.58,1.83,0.76,0.22,0.01,0.0,0.0,0.0,0.0,0.0,16.0,30
0.0,0.0,0.0,0.0,0.0,0.01,0.38,0.49,1.24,2.31,2.25,2.82,1.88,1.92,0.66,0.66,0.2,0.04,0.0,0.0,0.0,0.0,0.0,0.0,14.9,31
0,0,0,0,0,0.0,3.2,12.7,26.4,42.1,55.9,53.7,46.2,37.7,27.8,19.9,10.6,2.2,0.0,0,0,0,0,0,,總和
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,日/時